停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
公有免費停車場,154,大東夜市臨時停車場,臺南市東區東區林森路(大東夜市旁),,-1,0,0,0,0,0,495,12,,,22.982656，120.218415,
公有免費停車場,155,北成路機車公有停車場,臺南市北區北區北成路(鄭子寮福安宮對面),,-1,0,0,0,0,0,25,2,,,23.020407，120.207154,107.12捐贈
公有免費停車場,156,九六新村停車場,臺南市北區和緯路一段,,-1,0,97,2,2,2,0,0,,,23.009462，120.214485,國防部土地
公有免費停車場,157,長勝營區免費公有停車場,臺南市新營區新營區新生路與新進路二段口,,-1,0,92,4,4,4,97,7,,,23.30023，120.303052,
公有免費停車場,158,佳里區進學路臨時停車場,臺南市佳里區臺南市佳里區進學路與民生路口,06-7222127,-1,0,55,1,1,0,0,0,,,23.164070，120.175636,佳里區公所代管
公有免費停車場,31,安通自辦重劃區公有停車場,臺南市安南區安和路1段263巷66號旁,,-1,0,8,1,0,0,0,0,,,23.031631，120.21026,
公有免費停車場,32,108期總安一自辦重劃，廣停8,臺南市安南區安南區州南七街與州南十街口東北側,,-1,0,21,2,0,0,0,0,,,23.059613，120.215057,
公有免費停車場,34,高鐵台南車站停二停車場,臺南市歸仁區高發一路與高發二路中間段南邊(歸仁十三路旁),,-1,0,85,2,0,2,86,2,,,22.924998，120.28949,
公有免費停車場,35,高鐵台南車站停三停車場,臺南市歸仁區站后一路(歸仁三路與歸仁五路中間),,-1,0,69,2,0,2,0,0,,,22.930107，120.28585,
公有免費停車場,36,高鐵台南車站停四停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)北邊,,-1,0,32,2,0,0,0,0,,,22.928872，120.28643,
公有免費停車場,37,高鐵台南車站停五停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)南邊,,-1,0,34,2,0,0,0,0,,,22.928111，120.28682,
公有免費停車場,38,高鐵台南車站停六停車場,臺南市歸仁區武當路(歸仁六路與歸仁八路中間),,-1,0,40,2,0,0,0,0,,,22.928378，120.28253,
公有免費停車場,39,高鐵台南車站停七停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)北邊,,-1,0,34,2,0,0,0,0,,,22.92739，120.28297,
公有免費停車場,40,高鐵台南車站停八停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)南邊,,-1,0,34,2,0,0,0,0,,,22.9265，120.28337,
公有免費停車場,41,高鐵台南車站停九停車場,臺南市歸仁區高鐵八路與高鐵六路口,,-1,0,79,3,0,2,84,2,,,22.924336，120.28008,
公有免費停車場,43,楠西區都市計畫停二立體停車場,臺南市楠西區民生路12號,,-1,0,12,1,1,0,30,0,,,23.176651，120.48599,公所經管
公有免費停車場,44,南化區玉山停車場,臺南市南化區南化水庫下方「源之旅公園」,,-1,16,226,4,4,0,0,0,,,23.092397，120.53399,公所經管
公有免費停車場,46,麻豆區機三地下停車場,臺南市麻豆區興南路16號,,-1,0,22,1,0,0,0,0,,,23.183037，120.24854,公所經管
公有免費停車場,47,麻豆區新建辦公大樓公共停車場,臺南市麻豆區忠孝路250號,,-1,0,104,2,2,0,71,2,,,23.185152，120.25824,公所經管
公有免費停車場,48,將軍區公一停車場,臺南市將軍區忠興里180-50號，文康中心、圖書館旁(飛砂崙公園),,-1,0,51,1,1,0,25,1,,,23.200985，120.16042,公所經管
公有免費停車場,51,後壁區停車場,臺南市後壁區區公所後方,,-1,0,12,1,1,0,0,0,,,23.367016，120.36238,公所經管
公有免費停車場,52,白河區停三停車場,臺南市白河區新興路與光華路口,,-1,0,60,1,1,0,0,0,,,23.352416，120.41986,公所經管
公有免費停車場,53,東山區停二停車場,臺南市東山區龍鳳街與新東路口,,-1,0,90,2,2,0,15,0,,,23.322425，120.40168,公所經管
公有免費停車場,54,鹽水區停三停車場,臺南市鹽水區治水路268巷(鹽水區農會與衛生所交接處),,-1,0,28,1,1,0,0,0,,,23.320063，120.2653,公所經管
公有免費停車場,55,大內區大內公園廣場停車場,臺南市大內區西拉雅親子公園內(台84頭社交流道旁),,-1,2,116,2,2,0,10,0,,,23.142772，120.37054,公所經管
公有免費停車場,61,臺灣歷史博物館西北側停車場(廣停AN11-1),臺南市安南區館安路與館安二路交叉口,,-1,0,165,8,0,3,70,0,,,23.064113，120.22807,
公有免費停車場,69,安南區自辦重劃，廣停1,臺南市安南區慈安路與安通二街口,,-1,0,30,1,0,0,0,0,,,23.032589，120.205990,
公有免費停車場,70,安南區自辦重劃，廣停2,臺南市安南區安西一街與安通一街口,,-1,0,45,2,0,0,0,0,,,23.031147，120.207770,
公有免費停車場,702-1,安平港鯤鯓站臨時免費公有停車場,臺南市南區安平港聯外道路(四鯤鯓碼頭管制站前),,-1,0,84,2,1,2,13,0,,,22.966607，120.16586,
公有免費停車場,702-2,黃金海岸停車場,臺南市南區西濱公路182.5公里處(黃金海岸旁),,-1,0,328,8,8,7,0,0,,,22.935294，120.1761,
公有免費停車場,702-3,舉喜堂路外停車場(廣停S7),臺南市南區明興路1087巷,,-1,0,13,1,1,9,0,0,,,22.929536，120.18607,
