名稱,重要地標,地址,緯度,經度,充電車位數量
北投運動中心停車場,北投運動中心,臺北市北投區石牌路1段39巷100號,25.116667471581014, 121.50971898195138,1
北投機廠停車場,北投機廠,臺北市北投區大業路527巷88號,25.13514109388724, 121.48346553962189,1
市立田徑場地下停車場電動汽車充電站,市立田徑場,臺北市松山區敦化北路3號,25.049868736747865, 121.55243179729032,1
松山運動中心停車場,松山運動中心,臺北市松山區敦化北路1號,25.048879137430077, 121.55027391263069,1
科技服務大樓附屬停車樓汽車停車場,科技服務大樓附屬停車樓汽車,臺北市松山區光復北路266號5、6F,25.05943773822746, 121.55414363777462,1
臺北體育館停車場,臺北體育館,臺北市松山區南京東路4段10號,25.051523853292963, 121.55214457030097,1
市議會停車場,市議會,臺北市信義區仁愛路4段507號,25.03861315727378, 121.56205314146563,1
松德大樓,松德大樓,臺北市信義區松德路300號,25.03230214769192, 121.57414988194968,1
臺北市立永春高級中學,永春高中,臺北市信義區松山路654號,25.03302960436713, 121.57849549729005,1
臺北市立松山高級商業家事職業學校,臺北市立松山高級商業家事職葉學校,臺北市信義區松山路655號,25.03557736695717, 121.58016665496027,1
內湖機廠轉乘停車場,內湖機廠,臺北市南港區經貿一路265號,25.061477759248383, 121.61823645496072,1
南港運動中心停車場,南港運動中心,臺北市南港區玉成街69號,25.049074757954447, 121.58180805311487,1
萬華區行政中心停車場,萬華區行政中心,臺北市萬華區和平西路3段120號,25.035211663475046, 121.49987776845491,1
